"package_name", "sum(sum_quantity)"
"com.mixpanel.android.util", "121"
"com.mobeta.android.dslv", "1255"
"com.mobileapptracker", "403"
"com.mopub.common", "7528"
"com.mopub.common.event", "65"
"com.mopub.common.factories", "109"
"com.mopub.common.logging", "593"
"com.mopub.common.util", "4563"
"com.mopub.mobileads", "27181"
"com.mopub.mobileads.factories", "1892"
"com.mopub.mobileads.resource", "1478"
"com.mopub.mobileads.util", "1294"
"com.mopub.mobileads.util.vast", "4127"
"com.mopub.nativeads", "4622"
"com.mopub.nativeads.factories", "162"
"com.nineoldandroids.animation", "40173"
"com.nineoldandroids.util", "2536"
"com.nineoldandroids.view", "15417"
"com.nineoldandroids.view.animation", "7830"
"com.nostra13.universalimageloader.cache.disc.naming", "11"
"com.nostra13.universalimageloader.cache.memory.impl", "88"
"com.nostra13.universalimageloader.core", "198"
"com.nostra13.universalimageloader.core.assist", "399"
"com.nostra13.universalimageloader.core.assist.deque", "1187"
"com.nostra13.universalimageloader.core.decode", "55"
"com.nostra13.universalimageloader.core.display", "11"
"com.nostra13.universalimageloader.core.download", "229"
"com.nuance.nmdp.speechkit", "55"
"com.squareup.okhttp", "34231"
"com.squareup.okhttp.internal", "17148"
"com.squareup.okhttp.internal.http", "25887"
"com.squareup.okhttp.internal.huc", "12489"
"com.squareup.okhttp.internal.spdy", "23884"
"com.squareup.okhttp.internal.tls", "2968"
"com.squareup.otto", "6078"
"com.squareup.picasso", "43796"
"com.viewpagerindicator", "32611"
"crittercism.android", "313"
"dagger", "1719"
"dagger.internal", "9876"
"dagger.internal.loaders", "1190"
"dalvik.system", "183"
"dj", "13"
"double[]", "11"
"eq", "13"
"ew", "11"
"fl", "11"
"float[]", "11"
"fm", "12"
"fr", "12"
"int[]", "227"
"it.sephiroth.android.library.imagezoom", "58"
"java.io", "66738"
"java.lang", "1036301"
"java.lang.annotation", "170"
"java.lang.management", "17"
"java.lang.ref", "10485"
"java.lang.reflect", "22639"
"java.math", "3506"
"java.net", "19765"
"java.nio", "3466"
"java.nio.channels", "288"
"java.nio.charset", "1055"
"java.nio.file", "24"
"java.security", "3511"
"java.security.cert", "1051"
"java.security.spec", "78"
"java.sql", "1133"
"java.text", "3908"
"java.util", "443448"
"java.util.concurrent", "18916"
"java.util.concurrent.atomic", "5626"
"java.util.concurrent.locks", "4271"
"java.util.logging", "406"
"java.util.regex", "3717"
"java.util.zip", "1284"
"javax.annotation.processing", "137"
"javax.crypto", "608"
"javax.crypto.spec", "281"
"javax.lang.model", "14"
"javax.lang.model.element", "347"
"javax.lang.model.type", "194"
"javax.lang.model.util", "25"
"javax.management", "289"
"javax.management.openmbean", "153"
"javax.net", "42"
"javax.net.ssl", "1109"
"javax.security.auth.x500", "117"
